,train_accuracy,val_accuracy,train_loss,val_loss
1,0.2545,0.2322,1.5,1.6
2,0.3409,0.2944,1.3619,1.4892
3,0.4278,0.297,1.1852,1.3458
4,0.5046,0.3071,1.069,1.2063
5,0.5485,0.3525,0.8944,1.1035
6,0.6001,0.3444,0.8337,1.0112
7,0.6611,0.3793,0.7317,0.9491
8,0.6925,0.3655,0.6456,0.8296
9,0.7148,0.3864,0.5795,0.7566
10,0.7529,0.4175,0.49,0.6826
11,0.7688,0.4345,0.4582,0.5839
12,0.7905,0.4359,0.4177,0.5699
13,0.8156,0.4399,0.3902,0.5236
14,0.8124,0.4443,0.3272,0.531
15,0.8281,0.435,0.291,0.4367
16,0.8507,0.4503,0.2666,0.4125
17,0.8572,0.4583,0.2601,0.3745
18,0.8782,0.4822,0.2306,0.323
19,0.875,0.4766,0.2002,0.3467
20,0.8773,0.4525,0.1969,0.3163
21,0.9091,0.4825,0.1768,0.2972
22,0.899,0.4758,0.1751,0.2436
23,0.906,0.4743,0.142,0.2762
24,0.8964,0.493,0.1369,0.2031
25,0.9076,0.5002,0.1274,0.232
26,0.9057,0.5083,0.1058,0.2196
27,0.9134,0.4997,0.1219,0.2303
28,0.9162,0.5061,0.1156,0.2189
29,0.9223,0.5022,0.107,0.2289
30,0.9369,0.4961,0.0994,0.2154
